1,1
1,2
2,1
2,2
3,1
3,2
4,1
4,2
5,1
5,2
6,1
6,2
7,1
7,2
8,2
8,4
8,7
8,9
8,12
8,13
8,19
8,23
8,24
8,25
8,26
9,2
9,4
9,7
9,9
9,12
9,13
9,19
9,23
9,24
9,25
9,26
10,2
10,4
10,7
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,20
10,21
10,24
10,25
10,26
11,2
11,4
11,7
11,9
11,11
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,20
11,21
11,24
11,25
11,26
12,2
12,4
12,8
12,10
12,20
12,21
12,22
12,24
12,25
12,26
15,2
15,4
15,8
15,10
15,20
15,21
15,22
15,24
15,25
15,26
13,2
13,3
13,4
13,5
13,6
13,8
13,10
13,12
13,13
13,20
13,24
13,25
13,26
16,2
16,3
16,4
16,5
16,6
16,8
16,10
16,12
16,13
16,20
16,24
16,25
16,26
14,2
14,4
14,7
14,10
14,14
14,15
14,16
14,17
14,18
14,24
14,25
14,26
17,2
17,4
17,7
17,10
17,14
17,15
17,16
17,17
17,18
17,24
17,25
17,26
